received_time_ns,des_roll_rate,roll_rate,roll_out,des_pitch_rate,pitch_rate,pitch_out,des_yaw_rate,yaw_rate,yaw_out
4377415000,0.0,0.003588390536606312,-1.225131290993886e-05,0.0,0.0010116026969626546,-7.31138698029099e-07,-1.0497797120478936e-06,-0.0027597544249147177,-2.1786631805298384e-06
4477375000,0.0,0.0020740358158946037,5.557427812163951e-06,0.0,0.0021550802048295736,-9.152464372164104e-06,-1.0446794931340264e-06,0.002517217304557562,-2.8033030048391083e-06
4577335000,0.0,0.00072068179724738,-1.1290577276668046e-05,0.0,0.0027703435625880957,-1.1373989764251746e-05,2.6497102226130664e-05,0.0026819489430636168,-3.527080707499408e-06
4677295000,0.0,0.0024849707260727882,-3.971613296016585e-07,0.0,0.00010692251817090437,1.1199452956134337e-06,-9.522880191070726e-07,0.005641879513859749,-3.318515155115165e-06
4777255000,0.0,0.0026179414708167315,-8.091556082945317e-06,0.0,0.0034579031635075808,-5.5270584198297e-07,-8.563791311644309e-07,0.004466770216822624,-6.311121524049668e-06
4877215000,0.0,0.003400856629014015,-9.32698640099261e-06,0.0,0.004032441880553961,-2.0191648218315095e-05,-7.949412292873603e-07,0.0025592667516320944,-4.873359557677759e-06
4977175000,0.0,0.003991781733930111,-6.27929694019258e-07,0.0,0.0038794090505689383,-9.589291948941536e-06,-7.710226554991095e-07,0.0004443833022378385,-2.7575065359997097e-06
5077135000,0.0,0.005930236540734768,-4.951411028741859e-06,0.0,0.005198067054152489,-1.539878940093331e-05,-7.250614544318523e-07,0.005916333757340908,-4.662321771320421e-06
5177095000,0.0,0.006296384148299694,-1.85628050530795e-05,0.0,0.001362752402201295,-4.703454123955453e-06,-6.941079959688068e-07,0.0036613228730857372,-3.10848167828226e-06
5277055000,0.0,-0.0002967352920677513,1.8885666577261873e-06,0.0,0.003084893338382244,-1.0552260391705204e-05,-6.415808684323565e-07,0.005844281055033207,-5.916919235460227e-06
5377015000,0.0,-2.2555697796633467e-05,5.014966973249102e-06,0.0,0.006437516771256924,-2.4075259716482833e-05,-1.547391730127856e-05,0.004305632784962654,-8.32308523968095e-06
5476975000,0.0,0.00539237167686224,-8.937106031225994e-06,0.0,0.003951172810047865,-1.4680492313345894e-05,-5.318368039297638e-07,0.0043752603232860565,-6.407934961316641e-06
5576935000,0.0,0.003198607824742794,-1.763132786436472e-05,0.0,0.0030539382714778185,1.5201358110061847e-06,-5.27146880813234e-07,0.0028075973968952894,-4.809606252820231e-06
5676895000,0.0,0.003213942050933838,-2.197986759711057e-06,0.0,-0.001082990667782724,1.4632265447289683e-05,-5.252708774605708e-07,0.0005784041713923216,-3.494643124213326e-06
5776855000,0.0009181724744848907,0.003249907633289695,-9.983364179788623e-07,-0.001399865373969078,0.0005335465539246798,-8.010355486476328e-06,-1.0260428098263219e-05,0.00413859635591507,-4.752354925585678e-06
5876815000,0.0009181731147691607,0.0006296664942055941,1.229771805810742e-05,-0.0013998661888763309,0.004105624742805958,-1.1353710760886315e-05,1.2524581507022958e-05,0.006346620619297028,-6.1672390074818395e-06
5976775000,0.0009181731147691607,0.0026591585483402014,1.934073952725157e-05,-0.0013998666545376182,0.008306404575705528,-3.08683593175374e-05,4.45058958575828e-06,0.0013718829723075032,-7.0695573413104285e-06
6076735000,0.0009181732311844826,0.0035287239588797092,-4.990442448615795e-06,-0.0013998663052916527,0.00477541284635663,-6.255060725379735e-06,1.491344937676331e-05,0.00453674653545022,-7.2791035563568585e-06
6176695000,0.0009181728237308562,0.002221910050138831,1.434483010598342e-06,-0.0013998666545376182,0.0042568594217300415,-1.6158952348632738e-05,-1.1210951925022528e-05,0.005550658330321312,-8.585742762079462e-06
6276655000,0.0009181728819385171,0.00247860886156559,-5.6361741371802054e-06,-0.0013998665381222963,0.0038502244278788567,-1.5061104932101443e-06,2.9628824904648354e-06,0.003119044005870819,-9.65182698564604e-06
6376615000,0.0009181728819385171,0.005422644317150116,-2.271406992804259e-05,-0.0013998665381222963,0.006304627750068903,-3.652421946753748e-05,-6.197144102770835e-06,-0.0029436706099659204,-5.750958735006861e-06
6477408000,0.0009181728237308562,0.0012720837257802486,4.879431799054146e-06,-0.0013998664217069745,0.0013912467984482646,-1.2510482520156074e-05,7.585540515719913e-06,0.007220484782010317,-7.906673999968916e-06
6577368000,0.0009181728819385171,0.0023942512925714254,5.4234596973401494e-06,-0.0013998673530295491,0.007045479491353035,-3.8435136957559735e-05,7.295062005141517e-06,-0.00048036445514298975,-8.200561751436908e-06
6677328000,0.0009181727073155344,0.0009401384158991277,1.635753687878605e-05,-0.00139986677095294,0.003692483063787222,-1.0691308489185758e-05,1.7202346498379484e-05,0.008369316346943378,-6.861620477138786e-06
6777288000,0.0009181725909002125,0.004466606304049492,-1.072920440492453e-05,-0.0013998668873682618,0.003512401832267642,-1.0661707165127154e-05,-2.409995431662537e-06,0.004339457489550114,-6.029354153724853e-06
6877248000,0.0009181727073155344,0.0071893841959536076,-1.917469489853829e-05,-0.0013998672366142273,0.005981571972370148,-2.2708392862114124e-05,-5.689077170245582e-06,0.0036545568145811558,-6.542947176058078e-06
6977208000,0.0009181729983538389,0.005364067852497101,-2.7049034542869776e-05,-0.0013998673530295491,0.005775996949523687,-1.8233391529065557e-05,3.2702616863389267e-06,0.0052092066034674644,-6.044886504241731e-06
7077168000,0.000918172299861908,0.007324086502194405,-1.0078205377794802e-05,-0.00139986805152148,0.0030551536474376917,-1.2421805877238512e-05,-0.00011804993118857965,0.004255241714417934,-7.202048436738551e-06
7177128000,0.0009181741625070572,0.004568242002278566,1.2032836821163073e-05,-0.0013998668873682618,0.004553505219519138,-2.495913577149622e-06,0.0002378388016950339,0.0032147804740816355,-6.791869964217767e-06
7277088000,0.0009181759087368846,0.0030306726694107056,6.695174306514673e-06,-0.0013998657232150435,0.009906034916639328,-3.4049928217427805e-05,0.0005634500412270427,0.00328313116915524,-3.4846477774408413e-06
7377048000,0.0009181775967590511,0.006493351422250271,-1.797908771550283e-05,-0.0013998645590618253,0.004605060908943415,-9.610519555280916e-06,0.0008664679480716586,0.005959752015769482,-4.501393050304614e-06
7477008000,0.000918176316190511,0.003101082518696785,1.7307547750533558e-06,-0.001399865373969078,0.005651881452649832,-1.1375057511031628e-05,0.0006317079532891512,0.0053904312662780285,-6.144291546661407e-06
7576968000,0.0009181748609989882,0.0020599854178726673,1.5411001186294015e-06,-0.0013998664217069745,0.00952111929655075,-3.104332063230686e-05,0.00035909665166400373,0.005139727145433426,-5.980083642498357e-06
7676928000,0.0009181717759929597,0.0025921333581209183,6.611162916669855e-06,-0.0013998684007674456,0.005066101439297199,-1.539075128675904e-05,-0.00020126893650740385,0.008426644839346409,-7.513662239944097e-06
7776888000,0.000918169564101845,0.0021954497788101435,1.977457031898666e-06,-0.0013998699141666293,0.006461260374635458,-1.925740434671752e-05,-0.0006178126204758883,0.0029385206289589405,-9.241679435945116e-06
7876848000,0.0009181698551401496,0.0024035039823502302,1.109986533265328e-05,-0.0013998696813359857,0.006397187244147062,-2.270447657792829e-05,-0.0005572460358962417,0.0048524667508900166,-8.575853826187085e-06
7976808000,0.0009181687491945922,0.003567307721823454,-2.8687281883321702e-06,-0.0013998703798279166,0.010385368950664997,-2.655884782143403e-05,-0.0007691840291954577,0.00549873523414135,-9.145091098616831e-06
8076768000,0.0009181683417409658,0.005172601900994778,-2.0123647118452936e-05,-0.0013998706126585603,-0.0003938691224902868,1.0062035471491981e-07,-0.0008374271565116942,0.006102598272264004,-8.925873771659099e-06
8176728000,0.0009181725909002125,0.006655385717749596,-1.2443234481906984e-05,-0.0013998679351061583,0.008122343569993973,-2.6469995646039024e-05,-4.9840724386740476e-05,0.0008175377151928842,-6.392011982825352e-06
8276688000,0.0009181724744848907,0.005810084752738476,-1.9155691916239448e-05,-0.0013998679351061583,0.005686787888407707,-1.0578420187812299e-05,-6.49710709694773e-05,0.004576097242534161,-7.53038739276235e-06
8376648000,0.000918173638638109,0.0026625143364071846,-1.8624232325237244e-06,-0.0013998671201989055,0.002678144024685025,7.440739864250645e-07,0.00013195493374951184,0.0010348329087719321,-7.259417998284334e-06
8476608000,0.0009181753848679364,0.007839987054467201,-2.742785363807343e-05,-0.0013998659560456872,0.006019527558237314,-2.698325624805875e-05,0.0004575721686705947,0.003540363861247897,-6.18497324467171e-06
8577401000,0.0009181800996884704,0.006536642089486122,-2.2020642063580453e-05,-0.0013998629292473197,0.008536205627024174,-2.008391311392188e-05,0.0013359880540519953,0.0024003779981285334,-4.3151958379894495e-06
8677361000,0.0009136244188994169,0.0103952307254076,-1.841850644268561e-05,-0.0014028404839336872,-0.0011945216683670878,6.9875563895038795e-06,-0.8368628025054932,0.128647580742836,-0.00046593640581704676
8777321000,0.0009020596044138074,0.010857822373509407,-3.363624637131579e-05,-0.0014103046851232648,0.008194527588784695,-2.5482509954599664e-05,-2.9567325115203857,0.24330948293209076,-0.002640815218910575
8877281000,0.0008870393503457308,0.006965195294469595,-1.6330710423062555e-05,-0.001419799984432757,0.006074341479688883,-1.0411111361463554e-05,-5.693486213684082,0.35926756262779236,-0.006341950502246618
