feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,1.0,1.0,1.0,1.0
command_pitch,1.0,1.0,1.0,1.0
command_yaw,1.0,1.0,1.0,1.0
command_throttle,1.0,1.0,1.0,1.0
roll,0.0,0.0,0.0,0.0
pitch,0.0,0.0,0.0,0.0
yaw,0.0,0.0,1.0,1.0
roll_rate,0.0,0.0,0.0,0.0
pitch_rate,0.0,0.0,0.0,0.0
yaw_rate,0.0,0.0,0.0,0.0
position_x,0.0,0.0,0.0,0.0
position_y,1.0,1.0,1.0,1.0
position_z,0.0,0.0,0.0,0.0
velocity_x,1.0,1.0,1.0,1.0
velocity_y,1.0,1.0,1.0,1.0
velocity_z,1.0,1.0,1.0,1.0
altitude,0.0,0.0,0.0,0.0
vertical_speed,1.0,1.0,1.0,1.0
heading,1.0,1.0,1.0,1.0
mode_offboard_attitude,1.0,1.0,1.0,1.0
mode_posctl,1.0,1.0,1.0,1.0
config_profile_px4_real_offboard_attitude_nominal,1.0,1.0,1.0,1.0
config_profile_px4_real_posctl_nominal,1.0,1.0,1.0,1.0
clip__command_roll,1.0,1.0,1.0,1.0
sq__command_roll,1.0,1.0,1.0,1.0
clip__command_pitch,1.0,1.0,1.0,1.0
sq__command_pitch,1.0,1.0,1.0,1.0
clip__command_yaw,1.0,1.0,1.0,1.0
sq__command_yaw,1.0,1.0,1.0,1.0
clip__command_throttle,1.0,1.0,1.0,1.0
sq__command_throttle,1.0,1.0,1.0,1.0
sq__roll,1.0,1.0,1.0,1.0
sq__pitch,0.0,1.0,0.0,0.0
sq__yaw,0.0,0.0,1.0,0.0
sq__roll_rate,0.0,0.0,0.0,0.0
sq__pitch_rate,0.0,0.0,0.0,0.0
sq__yaw_rate,0.0,0.0,0.0,0.0
backend_px4__command_roll,1.0,1.0,1.0,1.0
backend_px4__command_pitch,1.0,1.0,1.0,1.0
backend_px4__command_yaw,1.0,1.0,1.0,1.0
backend_px4__command_throttle,1.0,1.0,1.0,1.0
